profile,shop,item_url,shop_url,price,flag,item_id
,,https://item.jd.com/11687318939.html,,,,11687318939
耐克NIKE 男子跑步鞋 NIKE AIR MAX TAILWIND 8 跑步鞋 805941-001 黑/白-煤黑 US9码42.5码,Nike耐克京东自营专区,https://item.jd.com/4248668.html,//mall.jd.com/index-1000001927.html,,JD自营,4248668
耐克 NIKE 男子休闲鞋 NIKE AF1 ULTRA FLYKNIT MID 运动鞋 817420-100 白色 US9.5/43码,Nike耐克京东自营专区,https://item.jd.com/3550097.html,//mall.jd.com/index-1000001927.html,,JD自营,3550097
耐克 NIKE 女鞋运动鞋 ROSHE ONE 轻便透气潮款休闲鞋 599729-611 粉色 38码/5.5Y,Nike耐克京东自营专区,https://item.jd.com/4869394.html,//mall.jd.com/index-1000001927.html,,JD自营,4869394
耐克 NIKE 女子休闲鞋 NIKE JUVENATE 运动鞋 724979-101 白色 US6.5码37.5码,Nike耐克京东自营专区,https://item.jd.com/3227885.html,//mall.jd.com/index-1000001927.html,,JD自营,3227885
耐克Nike跑步鞋男子秋季新款缓震耐磨透气运动跑鞋 819300-401 C 819300-407 40.5,爱淘运动专营店,https://item.jd.com/12063305697.html,//aitao.jd.com,,,12063305697
耐克 NIKE 男子休闲鞋NIKE Sock Dart 休闲鞋 819686-003 狼灰/白 US11码45码,Nike耐克京东自营专区,https://item.jd.com/3829517.html,//mall.jd.com/index-1000001927.html,,JD自营,3829517
耐克男鞋 2017春新款AIR ZOOM气垫运动鞋透气缓震舒适低帮跑步鞋898466 DF 831352-001/17夏季新款 43,天马运动专营店,https://item.jd.com/10487877009.html,//xyyzsg.jd.com,,,10487877009
Nike SB Bruin Premium 耐克男子低帮气垫板鞋 滑板鞋 运动休闲鞋 631041-001 40.5,,https://item.jd.com/1950146258.html,,.00,,1950146258
NIKE耐克男鞋跑步鞋2017夏季新款网面透气耐磨休闲运动鞋844838-005 Kaishi黑白奥利奥833411-010 41,热点运动户外专营店,https://item.jd.com/11165795726.html,//converserd.jd.com,396.00,,11165795726
耐克男鞋nike 2017春夏新款男子跑步鞋气垫飞线运动休闲缓震慢跑鞋898466-001 898466-001 40,上下运动专营店,https://item.jd.com/10422689576.html,//shangxia.jd.com,518.00,,10422689576
Nike耐克男鞋 2017新款 TANJUN SE 男子运动文化鞋 跑步休闲鞋844887 812654-011 黑/白（经典配色） 41,宜动旗舰店,https://item.jd.com/11829628049.html,//ydsport.jd.com,439.00,,11829628049
NIKE耐克男鞋2017春新款运动鞋KAISHI 2.0缓震休闲跑步鞋876875-001 KAISHI 2.0跑鞋876875-002 42.5,君悦运动专营店,https://item.jd.com/11460600800.html,//junyueyd.jd.com,410.00,,11460600800
耐克女鞋2017春季新款AIR ZOOM运动透气耐磨跑步鞋831356-005-001 2017新款黑色831356-001 38,恺琪运动专营店,https://item.jd.com/10391487744.html,//kqsport.jd.com,855.00,,10391487744
耐克 NIKE运动鞋Air Footscape Woven NM 875男子跑步鞋 休闲鞋 875797-200 41,网亿运动专营店,https://item.jd.com/11973030404.html,//wangyi.jd.com,769.00,,11973030404
特价 耐克女款阿甘鞋经典NIKE CORTEZ休闲低帮板鞋457226-413 C 457226-805 38.5,爱淘运动专营店,https://item.jd.com/1533580954.html,//aitao.jd.com,269.00,,1533580954
NIKE耐克女鞋运动鞋FLEX TRAINER 5轻质舒适耐磨跑步鞋724858-008 黑色+粉色724858-013 38,热点体育旗舰店,https://item.jd.com/11391385055.html,//redian.jd.com,498.00,,11391385055
Nike耐克 17春季 男子 AIR PRESTO运动休闲鞋 848187-600-400 848187-011 42.5,杰之行运动专营店,https://item.jd.com/12049728972.html,//jzxyd.jd.com,,,12049728972
耐克Nike童鞋夏季新款青少年运动耐磨气垫跑步鞋 654288-400 C 654288-400 6.5Y/脚长241MM,爱淘运动专营店,https://item.jd.com/12140699585.html,//aitao.jd.com,279.00,,12140699585
Nike耐克2017夏季新款男子户外运动透气耐磨缓震休闲跑步鞋902813-002-100 902813-002/17夏季新款 40.5,锐速运动专营店,https://item.jd.com/11701826453.html,//kryd.jd.com,499.00,,11701826453
Nike耐克男鞋2017夏季新款KAISHI低帮运动透气慢跑步鞋833411-010 DF 844838-005 42/265,清鸿叶运动专营店,https://item.jd.com/10296759537.html,//qhyyd.jd.com,439.00,,10296759537
Nike耐克男鞋跑步鞋秋季ROSHE RUN运动休闲跑步鞋511881-112 T Z 511881-112 42.5/270/9,锦顺运动专营店,https://item.jd.com/10673277724.html,//xinrui.jd.com,399.00,,10673277724
耐克男鞋 2017夏季新款低帮运动鞋air max气垫缓震透气休闲跑步鞋852461 DF 852461-005/17夏季新款 42,幸运叶子旗舰店,https://item.jd.com/10076077088.html,//xyyz.jd.com,656.00,,10076077088
全球购耐克（Nike）男士 Air Max Tavas 时尚休闲运动鞋专柜 标准47/US12.5,,https://item.jd.com/1976390123.html,,891.00,,1976390123
Nike耐克AIR PEGASUS 83男子复古休闲慢跑鞋827921-003 ZB 827921-003 40,沈斯克运动专营店,https://item.jd.com/11324179684.html,//shensike.jd.com,389.00,,11324179684
NIKE耐克男鞋达尔文飞线休闲鞋运动鞋运动休闲鞋-819803-051 819803-051 42,云聚运动专营店,https://item.jd.com/11401063725.html,//iyunju.jd.com,349.00,,11401063725
NIKE耐克女子WMNS NIKE REVOLUTION 3跑步鞋819303 819303-017+黑\灰 40,滔搏运动官方旗舰店,https://item.jd.com/11804513007.html,//topsports.jd.com,389.00,,11804513007
NIKE耐克 男鞋Air max系列休闲鞋减震运动鞋运动休闲 833260-010黑+白 41,微能量运动旗舰店,https://item.jd.com/11226968314.html,//weinengliangyd.jd.com,459.00,,11226968314
Nike耐克男鞋跑步运动鞋 880839-001 41,加百利运动专营店,https://item.jd.com/11990398149.html,//mall.jd.com/index-12721.html,719.00,,11990398149
Nike 耐克男鞋AF1 ULTRA FLYKNIT低帮男子运动休闲鞋空军一号817419 翡翠绿/白/黑/蓝绿色 42.5,,https://item.jd.com/1985008537.html,,1099.00,,1985008537
耐克NIKE女鞋春秋款ROSHE RUN运动休闲跑步鞋724979-004 844994-002 39,热点体育旗舰店,https://item.jd.com/10526661743.html,//redian.jd.com,486.00,,10526661743
NIKE耐克男鞋2017春季新款AIR MAX全掌气垫运动跑步鞋849559-402 Air Max全掌气垫849559-001 42,热点运动户外专营店,https://item.jd.com/11318049218.html,//converserd.jd.com,1329.00,,11318049218
耐克NIKE男鞋 AIR MAX 气垫 复刻 休闲鞋 跑步鞋 运动鞋 819476-005 银灰色42,Nike耐克京东自营专区,https://item.jd.com/3715984.html,//mall.jd.com/index-1000001927.html,898.00,JD自营,3715984
Nike耐克男鞋 2017春新款运动慢跑低帮复刻低帮轻便休闲板鞋882018-002 DF 882018-002 40,风驰运动专营店,https://item.jd.com/11519998234.html,//fengchiyundong.jd.com,489.00,,11519998234
耐克 NIKE 男鞋运动鞋 AIR MAX LD-ZERO 全掌气垫缓震耐磨跑步鞋 848624-002 蓝色 43码/9.5,Nike耐克京东自营专区,https://item.jd.com/4086245.html,//mall.jd.com/index-1000001927.html,1498.00,JD自营,4086245
NIKE耐克2017年新款男子NIKE AIR VRTX '17复刻鞋876135-001 876135-001+黑/白/深灰/白 40,滔搏运动户外专营店,https://item.jd.com/11551679849.html,//yougousg.jd.com,559.00,,11551679849
幸运叶子NIKE耐克男鞋 2017夏新款AIR MAX 复刻休闲鞋跑步鞋852461 DF 749680-002/17新款 40,江苏叶子运动专营店,https://item.jd.com/1812212587.html,//xyyzjs.jd.com,499.00,,1812212587
幸运叶子耐克Nike女鞋夏开拓者Blazer高帮透气休闲鞋板鞋518171-611 518171-611 38,江苏叶子运动专营店,https://item.jd.com/1543667365.html,//xyyzjs.jd.com,298.00,,1543667365
【京东配送】耐克女鞋Nike Flex 2017新款女子轻质透气跑步鞋831562-001 17新款粉色511882-610 37.5码/6.5,脉动运动专营店,https://item.jd.com/11765913295.html,//maidong.jd.com,439.00,,11765913295
【新品】耐克Nike WMNS NIKE REVOLUTION 3女跑步鞋运动 NIKE_819303_013 40 /255,,https://item.jd.com/1981695290.html,,499.00,,1981695290
耐克NIKE 2016春 女子运动生活系列WMNS AIR MAX 1 ESSENTIAL 跑步鞋 37.5码 599820400,京东自营国际运动精品专区,https://item.jd.com/3910558.html,//mall.jd.com/index-1000005792.html,798.00,JD自营,3910558
耐克男鞋nike AIR MAX 2017春新款男子运动气垫减震跑步鞋852461 ZG 852461-005 40,瑞动运动专营店,https://item.jd.com/11323992665.html,//mall.jd.com/index-602487.html,579.00,,11323992665
Nike/耐克 Air Max 1  黑白 男气垫休闲运动跑步鞋 705297-011 705297-011 43,三行之运动专营店,https://item.jd.com/11714494223.html,//mall.jd.com/index-34043.html,699.00,,11714494223
nike耐克2017春季新款男鞋经典低帮复古耐磨透气运动休闲板鞋 377812-044 377812-044/17春季新款 40,锐速运动专营店,https://item.jd.com/10069913874.html,//kryd.jd.com,379.00,,10069913874
Nike耐克2017夏季新款FREE RN赤足系列男子跑步鞋898457-001 X 898457-001 40,腾吉运动专营店,https://item.jd.com/11699758810.html,//mall.jd.com/index-70112.html,519.00,,11699758810
NIKE耐克 新款 男子飞线跑步鞋AIR ZOOM PEGASUS 33 831352 831352-001黑/白/煤黑/冷灰 44,宜动旗舰店,https://item.jd.com/10403160589.html,//ydsport.jd.com,679.00,,10403160589
nike耐克17夏男鞋Air Max气垫减震轻便透气运动跑步鞋805941-001-007 805941-406/17夏季新款 39,锐速运动专营店,https://item.jd.com/10070935716.html,//kryd.jd.com,749.00,,10070935716
美国正品Nike/耐克 AIR MAX 2017轻盈舒适透气男子运动跑步鞋 849559-404 8.5,,https://item.jd.com/1983964239.html,,1852.00,,1983964239
耐克童鞋 AIR MAX 90 GS男女大童透气休闲跑步鞋 833475-001 833475-400 38,粒度运动专营店,https://item.jd.com/11895036338.html,//feiyu.jd.com,599.00,,11895036338
